ref_norm,referee,club_games,club_cpg,club_ratio
serkan cnar,Serkan Çınar,57,5.105,1.185
yuriy ivanov,Yuriy Ivanov,57,6.14,1.425
dr. robert kampka,Dr. Robert Kampka,56,4.589,1.065
cosme machado,Cosme Machado,56,5.732,1.331
cuneyt cakir,Cüneyt Cakir,56,4.304,0.999
ilias spathas,Ilias Spathas,56,5.161,1.198
georgios kyzas,Georgios Kyzas,56,5.839,1.355
milorad mazic,Milorad Mazic,56,4.625,1.074
rafael shafeev,Rafael Shafeev,56,4.214,0.978
yan bobrovskiy,Yan Bobrovskiy,56,5.196,1.206
andrea colombo,Andrea Colombo,56,4.75,1.103
thorsten kinhofer,Thorsten Kinhöfer,55,4.164,0.966
yuriy vaks,Yuriy Vaks,55,4.327,1.004
philippe kalt,Philippe Kalt,55,3.436,0.798
kristo tohver,Kristo Tohver,55,5.273,1.224
javier iglesias villanueva,Javier Iglesias Villanueva,55,4.273,0.992
roman blavatskyi,Roman Blavatskyi,55,4.164,0.966
erkan ozdamar,Erkan Özdamar,55,4.673,1.085
ondrej berka,Ondrej Berka,55,3.582,0.831
sebastiano peruzzo,Sebastiano Peruzzo,54,5.0,1.161
andreas ekberg,Andreas Ekberg,54,3.759,0.873
romain lissorgue,Romain Lissorgue,54,4.0,0.928
olegario benquerenca,Olegário Benquerença,53,5.755,1.336
jonas eriksson,Jonas Eriksson,53,4.151,0.963
peter gagelmann,Peter Gagelmann,53,3.528,0.819
craig napier,Craig Napier,53,3.868,0.898
viktor kassai,Viktor Kassai,52,5.058,1.174
peter rasmussen,Peter Rasmussen,52,2.615,0.607
ilker meral,Ilker Meral,52,4.865,1.129
stefanos koumparakis,Stefanos Koumparakis,52,4.731,1.098
pierre gaillouste,Pierre Gaillouste,52,3.827,0.888
cagdas altay,Çağdaş Altay,52,4.212,0.978
david silva,David Silva,52,6.192,1.437
mustafa kamil abitoglu,Mustafa Kamil Abitoglu,51,3.902,0.906
dmytro kryvushkin,Dmytro Kryvushkin,51,5.725,1.329
robin hensgens,Robin Hensgens,51,3.706,0.86
federico dionisi,Federico Dionisi,51,3.824,0.887
igor pajac,Igor Pajac,51,4.098,0.951
julian weinberger,Julian Weinberger,51,4.059,0.942
matteo marcenaro,Matteo Marcenaro,51,4.922,1.142
luca zufferli,Luca Zufferli,51,3.059,0.71
stephane jochem,Stéphane Jochem,50,3.26,0.757
daniel jesus trujillo suarez,Daniel Jesús Trujillo Suárez,50,4.66,1.082
rui oliveira,Rui Oliveira,50,4.84,1.123
luca massimi,Luca Massimi,50,4.32,1.003
helder carvalho,Hélder Carvalho,50,4.86,1.128
ioannis delfakis,Ioannis Delfakis,49,5.449,1.265
pavel kralovec,Pavel Kralovec,49,4.245,0.985
nikolay voloshin,Nikolay Voloshin,49,4.265,0.99
wesley alen,Wesley Alen,49,4.714,1.094
rade obrenovic,Rade Obrenovic,49,4.429,1.028
marian barbu,Marian Barbu,49,4.204,0.976
dario bel,Dario Bel,49,4.429,1.028
karel roucek,Karel Roucek,49,3.837,0.891
vasili kazartsev,Vasili Kazartsev,48,5.021,1.165
brian colvin,Brian Colvin,48,2.771,0.643
firat aydinus,Firat Aydinus,48,4.167,0.967
davide ghersini,Davide Ghersini,48,3.708,0.861
sergey cheban,Sergey Cheban,48,3.542,0.822
lukas fahndrich,Lukas Fähndrich,48,4.0,0.928
alejandro quintero gonzalez,Alejandro Quintero González,48,4.75,1.103
lukasz kuzma,Lukasz Kuzma,48,3.792,0.88
oleksandr ivanov,Oleksandr Ivanov,47,4.66,1.082
lasse graagaard,Lasse Graagaard,47,2.128,0.494
chris graham,Chris Graham,47,4.447,1.032
carlos macedo,Carlos Macedo,47,4.362,1.012
