ref_norm,referee,club_games,club_cpg,club_ratio
martijn kieft,Martijn Kieft,3,1.333,0.309
ilya ivanov,Ilya Ivanov,3,1.333,0.309
oleksandr sakhno,Oleksandr Sakhno,3,4.0,0.928
luigi pillitteri,Luigi Pillitteri,3,5.0,1.161
aleksandr kurbatov,Aleksandr Kurbatov,3,4.333,1.006
antonio monter solans,Antonio Monter Solans,3,8.667,2.012
anthony coggins,Anthony Coggins,3,4.0,0.928
andrew miller,Andrew Miller,3,2.667,0.619
andres cunha,Andrés Cunha,3,3.667,0.851
christophe pires martins,Christophe Pires Martins,3,6.0,1.393
yasin seker,Yasin Seker,3,4.667,1.083
milad rajabi,Milad Rajabi,3,3.667,0.851
jonas rossen,Jonas Rossen,3,3.0,0.696
admir sehovic,Admir Sehovic,3,5.333,1.238
milovan milacic,Milovan Milacic,3,3.667,0.851
daan schaper,Daan Schaper,3,4.333,1.006
vladyslav bakulin,Vladyslav Bakulin,3,6.333,1.47
dmytro kuzovlev,Dmytro Kuzovlev,3,4.667,1.083
aleksey fedotov,Aleksey Fedotov,3,3.667,0.851
vladyslav dorosh,Vladyslav Dorosh,3,4.333,1.006
aimar velasco arbaiza,Aimar Velasco Arbaiza,3,5.667,1.315
konstantinos sidiropoulos,Konstantinos Sidiropoulos,3,8.0,1.857
victor ris,Victor Ris,3,1.333,0.309
nick tunnissen,Nick Tunnissen,3,1.333,0.309
david lopez jimenez,David López Jiménez,3,5.667,1.315
mattheos vournelis,Mattheos Vournelis,3,6.333,1.47
toru kamikawa,Toru Kamikawa,3,4.667,1.083
christos kakoulidis,Christos Kakoulidis,3,5.0,1.161
vasilios stamos,Vasilios Stamos,3,5.333,1.238
dragan petrovic,Dragan Petrovic,3,6.0,1.393
nikolas neokleous,Nikolas Neokleous,3,6.0,1.393
niels haubo,Niels Haubo,3,4.333,1.006
marco monaldi,Marco Monaldi,3,6.0,1.393
reinoud weiland,Reinoud Weiland,3,2.333,0.542
pavlo detsyuk,Pavlo Detsyuk,3,3.667,0.851
alonso de ena wolf,Alonso de Ena Wolf,3,4.0,0.928
adrian quelch,Adrian Quelch,3,5.667,1.315
fernando bueno prieto,Fernando Bueno Prieto,3,3.667,0.851
jose alberto pardeiro puente,José Alberto Pardeiro Puente,3,4.667,1.083
artem polyakov,Artem Polyakov,3,2.333,0.542
maksim kuznetsov,Maksim Kuznetsov,3,3.667,0.851
aleksey shibaev,Aleksey Shibaev,3,2.667,0.619
aleksandr orel,Aleksandr Orel,3,3.667,0.851
yuriy ermolov,Yuriy Ermolov,3,3.667,0.851
evgeniy lekanov,Evgeniy Lekanov,3,6.0,1.393
yevgen nazarov,Yevgen Nazarov,3,5.0,1.161
igor stashuk,Igor Stashuk,3,8.0,1.857
ramazan keles,Ramazan Keles,3,6.667,1.547
jonathan van dongen,Jonathan van Dongen,3,2.333,0.542
francisco jose ortega herrera,Francisco José Ortega Herrera,3,7.0,1.625
steven macdonald,Steven MacDonald,3,3.0,0.696
paul timmons,Paul Timmons,3,2.667,0.619
evgeniy rubtsov,Evgeniy Rubtsov,3,7.0,1.625
emir privalov,Emir Privalov,3,5.0,1.161
gianpiero miele,Gianpiero Miele,3,3.333,0.774
mikkel gantzel,Mikkel Gantzel,3,1.667,0.387
yevgeniy makarenko,Yevgeniy Makarenko,3,3.667,0.851
stefan fyhn,Stefan Fyhn,3,1.333,0.309
florian lodeweeg,Florian Lodeweeg,3,3.667,0.851
brent falconer,Brent Falconer,3,3.0,0.696
matteo gualtieri,Matteo Gualtieri,3,2.667,0.619
dimitrios takidis,Dimitrios Takidis,3,5.0,1.161
aaron jackson,Aaron Jackson,3,2.333,0.542
raul martin gonzalez frances,Raúl Martín González Francés,3,5.333,1.238
chris beath,Chris Beath,3,4.0,0.928
shamsul maidin,Shamsul Maidin,3,6.667,1.547
milos savovic,Miloš Savović,3,4.0,0.928
sigurd kilden,Sigurd Kilden,3,1.667,0.387
alexander mygind dreyer,Alexander Mygind Dreyer,3,4.0,0.928
sergey osipov,Sergey Osipov,3,7.0,1.625
german kovalenko,German Kovalenko,3,3.333,0.774
konstantinos boumpas,Konstantinos Boumpas,3,6.333,1.47
andrew craven,Andrew Craven,3,3.667,0.851
ahmed al kaf,Ahmed Al-Kaf,3,2.667,0.619
salman ahmad falahi,Salman Ahmad Falahi,3,3.333,0.774
lars erbst,Lars Erbst,3,2.0,0.464
lukas benen,Lukas Benen,3,2.0,0.464
ivo torres,Ivo Torres,3,5.667,1.315
antoine chiaramonti,Antoine Chiaramonti,3,6.667,1.547
andreas argyrou,Andreas Argyrou,3,4.333,1.006
kirill garafutdinov,Kirill Garafutdinov,3,2.333,0.542
andrey meshkov,Andrey Meshkov,3,3.667,0.851
yuri matveev,Yuri Matveev,3,3.667,0.851
milos gigovic,Milos Gigovic,3,6.0,1.393
max broekhuizen,Max Broekhuizen,3,2.667,0.619
sander huijs,Sander Huijs,3,2.333,0.542
dimitrios kefalas,Dimitrios Kefalas,3,4.0,0.928
dimitrios bekiaris,Dimitrios Bekiaris,3,7.667,1.78
alejandro morilla turrion,Alejandro Morilla Turrión,3,4.0,0.928
jamie o'connor,Jamie O'Connor,3,6.0,1.393
piero maza,Piero Maza,3,3.667,0.851
nikola petrovic,Nikola Petrovic,3,2.667,0.619
alan kijas,Alan Kijas,3,4.667,1.083
peiman simani,Peiman Simani,3,4.0,0.928
benjamin friis,Benjamin Friis,3,2.667,0.619
magnus dilling,Magnus Dilling,3,3.333,0.774
simone galipo,Simone Galipò,3,4.0,0.928
maksim sukhanov,Maksim Sukhanov,3,4.0,0.928
bogdan dumitrache,Bogdan Dumitrache,3,2.0,0.464
ionela pesu,Ionela Pesu,3,3.0,0.696
mohammed saif al harbi,Mohammed Saif Al-Harbi,3,6.333,1.47
mohammed salem al dagash,Mohammed Salem Al-Dagash,3,6.0,1.393
mykola baydyuk,Mykola Baydyuk,3,5.333,1.238
ivan mandzyuk,Ivan Mandzyuk,3,7.0,1.625
sergey fedotov,Sergey Fedotov,3,4.333,1.006
andriy zaytsev,Andriy Zaytsev,3,2.667,0.619
giannis tomaras,Giannis Tomaras,3,5.0,1.161
konstantinos kechagias,Konstantinos Kechagias,3,4.333,1.006
abbie hendry,Abbie Hendry,3,2.333,0.542
owen lawrence,Owen Lawrence,3,0.333,0.077
youri kuipers,Youri Kuipers,3,2.333,0.542
martin wever,Martin Wever,3,3.0,0.696
ross martin,Ross Martin,3,4.667,1.083
oliver mackey,Oliver Mackey,3,4.333,1.006
andre luiz skettino policarpo bento,André Luiz Skettino Policarpo Bento,3,6.333,1.47
joshua encarnacion,Joshua Encarnacion,3,4.667,1.083
niccolo turrini,Niccolò Turrini,3,2.333,0.542
carlos amarilla,Carlos Amarilla,3,6.0,1.393
valentin ivanov,Valentin Ivanov,3,8.667,2.012
achim untergasser,Achim Untergasser,3,5.667,1.315
erdem mertoglu,Erdem Mertoğlu,3,6.333,1.47
mauricio mercado,Mauricio Mercado,3,3.333,0.774
oliver tvede,Oliver Tvede,3,3.0,0.696
jalal jayed,Jalal Jayed,3,3.667,0.851
amin omar,Amin Omar,3,2.0,0.464
abongile tom,Abongile Tom,3,8.333,1.934
pierre atcho,Pierre Atcho,3,4.667,1.083
thomas denholm,Thomas Denholm,3,5.0,1.161
robert bowie,Robert Bowie,3,3.0,0.696
mark daly,Mark Daly,3,3.333,0.774
yaser razouk,Yaser Razouk,3,2.0,0.464
alvaro carranza,Álvaro Carranza,3,4.667,1.083
graham poll,Graham Poll,3,7.0,1.625
luis medina cantalejo,Luis Medina Cantalejo,3,6.333,1.47
oscar ruiz,Óscar Ruiz,3,4.333,1.006
herbert fandel,Herbert Fandel,3,3.333,0.774
peter frojdfeldt,Peter Fröjdfeldt,3,5.667,1.315
norbert grudzinski,Norbert Grudzinski,2,6.5,1.509
tobias christ,Tobias Christ,2,3.0,0.696
marcel unger,Marcel Unger,2,3.5,0.812
christian leicher,Christian Leicher,2,1.0,0.232
radek matejek,Radek Matejek,2,1.5,0.348
gerhard grobelnik,Gerhard Grobelnik,2,8.0,1.857
igor pristovnik,Igor Pristovnik,2,3.5,0.812
rob souwen,Rob Souwen,2,3.0,0.696
aleksandar kostadinov,Aleksandar Kostadinov,2,6.0,1.393
morag pirie,Morag Pirie,2,2.0,0.464
yaroslav bits,Yaroslav Bits,2,6.0,1.393
yuriy synyshyn,Yuriy Synyshyn,2,5.5,1.277
andriy grysyo,Andriy Grysyo,2,6.0,1.393
andrea tardino,Andrea Tardino,2,3.5,0.812
carmine di ruberto,Carmine Di Ruberto,2,5.0,1.161
marco mainardi,Marco Mainardi,2,2.0,0.464
daniele rasia,Daniele Rasia,2,6.5,1.509
claudio lanza,Claudio Lanza,2,6.0,1.393
pasquale cangiano,Pasquale Cangiano,2,3.0,0.696
diego bruno,Diego Bruno,2,6.5,1.509
jose luis corral garcia,José Luis Corral García,2,7.5,1.741
alfonso melgares de aguilar fernandez,Alfonso Melgares de Aguilar Fernández,2,6.5,1.509
jesus munoz mayordomo,Jesus Muñoz Mayordomo,2,6.5,1.509
fernando lopez acera,Fernando López Acera,2,4.0,0.928
jeroen spinhoven,Jeroen Spinhoven,2,5.5,1.277
carlos lopez lopez,Carlos López López,2,7.0,1.625
thomas kurt lo turco,Thomas Kurt Lo Turco,2,0.5,0.116
eduardo garcia ballesteros,Eduardo García Ballesteros,2,8.0,1.857
german kravchenko,German Kravchenko,2,4.5,1.045
mike tumilty,Mike Tumilty,2,4.5,1.045
david somers,David Somers,2,5.0,1.161
david phillips,David Phillips,2,2.0,0.464
robert whitton,Robert Whitton,2,2.0,0.464
wayne barratt,Wayne Barratt,2,0.5,0.116
carl berry,Carl Berry,2,7.0,1.625
giannis blounas,Giannis Blounas,2,6.5,1.509
apostolos simeakis,Apostolos Simeakis,2,3.0,0.696
iosif sfakianakis,Iosif Sfakianakis,2,10.0,2.321
georgios chatzis,Georgios Chatzis,2,8.0,1.857
lampros papargyriou,Lampros Papargyriou,2,7.0,1.625
gary hilland,Gary Hilland,2,3.0,0.696
nikolaos rousos bekertzis,Nikolaos Rousos-Bekertzis,2,6.5,1.509
dr. malte dittrich,Dr. Malte Dittrich,2,3.0,0.696
tornike gvantseladze,Tornike Gvantseladze,2,4.0,0.928
pavlo chyzhevskyi,Pavlo Chyzhevskyi,2,4.5,1.045
vadym saik,Vadym Saik,2,3.0,0.696
bram van dongen,Bram van Dongen,2,5.5,1.277
gino d'onorio,Gino D'Onorio,2,2.0,0.464
maarten dubbeld,Maarten Dubbeld,2,2.5,0.58
paul van der burg,Paul van der Burg,2,3.5,0.812
peter van turenhout,Peter van Turenhout,2,3.0,0.696
edwin boot,Edwin Boot,2,3.5,0.812
derya serik,Derya Serik,2,3.5,0.812
menno hof,Menno Hof,2,2.0,0.464
stefano giovani,Stefano Giovani,2,5.0,1.161
andrea morreale,Andrea Morreale,2,1.0,0.232
craig sim,Craig Sim,2,3.5,0.812
yuri aponasenko,Yuri Aponasenko,2,3.5,0.812
cristian adrian lixandru,Cristian Adrian Lixandru,2,5.5,1.277
victor garcia maqueda,Víctor García Maqueda,2,8.0,1.857
jesus benjumea alvarez,Jesús Benjumea Álvarez,2,7.0,1.625
paul reid,Paul Reid,2,3.0,0.696
nikolaos anousos,Nikolaos Anousos,2,2.0,0.464
sergiu derenov,Sergiu Derenov,2,3.0,0.696
tsvetan krastev,Tsvetan Krastev,2,5.0,1.161
andy wiemer,Andy Wiemer,2,2.5,0.58
alex van kraay,Alex van Kraay,2,2.0,0.464
ozkan celiker,Özkan Celiker,2,6.0,1.393
onur ozutoprak,Onur Özütoprak,2,5.5,1.277
daniele viotti,Daniele Viotti,2,3.5,0.812
andrea capone,Andrea Capone,2,2.5,0.58
pasquale boggi,Pasquale Boggi,2,4.5,1.045
edoardo paolini,Edoardo Paolini,2,2.5,0.58
alessandro pietropaolo,Alessandro Pietropaolo,2,3.0,0.696
mervyn smyth,Mervyn Smyth,2,7.0,1.625
antonio artacho cobo,Antonio Artacho Cobo,2,8.0,1.857
alberto villoria linacero,Alberto Villoria Linacero,2,9.0,2.089
evangelos kordolemis,Evangelos Kordolemis,2,1.5,0.348
richard martin,Richard Martin,2,3.5,0.812
walter lopez,Wálter López,2,3.5,0.812
orkhan mammadov,Orkhan Mammadov,2,3.0,0.696
bruno rebocho,Bruno Rebocho,2,4.5,1.045
vito mastrodonato,Vito Mastrodonato,2,2.5,0.58
fabio schirru,Fabio Schirru,2,3.5,0.812
maksim chernetsov,Maksim Chernetsov,2,3.5,0.812
carlos alvarez fernandez,Carlos Álvarez Fernández,2,6.5,1.509
juan pena varela,Juan Peña Varela,2,2.0,0.464
jose manuel fernandez fernandez,José Manuel Fernández Fernández,2,3.0,0.696
carlos alberto carbonell hernandez,Carlos Alberto Carbonell Hernández,2,7.0,1.625
jose caucelo sace,José Caucelo Sace,2,8.5,1.973
denis savin,Denis Savin,2,5.0,1.161
dionysios zougras,Dionysios Zougras,2,2.0,0.464
georgios michailidis,Georgios Michailidis,2,9.0,2.089
andrey chulkin,Andrey Chulkin,2,6.0,1.393
alfonso gomez contreras,Alfonso Gómez Contreras,2,6.5,1.509
constantine hatzidakis,Constantine Hatzidakis,2,5.5,1.277
morten bertelsen,Morten Bertelsen,2,0.5,0.116
miguel lopez lopez,Miguel López López,2,9.5,2.205
luis maximo,Luís Máximo,2,3.0,0.696
vincenzo valiante,Vincenzo Valiante,2,2.0,0.464
andrea giuseppe zanonato,Andrea Giuseppe Zanonato,2,2.5,0.58
artem reket,Artem Reket,2,5.5,1.277
jaime ruiz alvarez,Jaime Ruiz Álvarez,2,10.0,2.321
cesar diez cano,César Díez Cano,2,3.5,0.812
daniel yuste querol,Daniel Yuste Querol,2,6.0,1.393
mikhail kazantsev,Mikhail Kazantsev,2,4.0,0.928
martin koster,Martin Köster,2,2.0,0.464
luis miguel montero de lerma,Luis Miguel Montero de Lerma,2,7.0,1.625
fernando roman roman,Fernando Román Román,2,6.0,1.393
stephen brown,Stephen Brown,2,4.0,0.928
spyros michelis,Spyros Michelis,2,1.5,0.348
nikolaos makrypodis,Nikolaos Makrypodis,2,4.0,0.928
angelos zaravinos,Angelos Zaravinos,2,3.0,0.696
daniel david baiges dones,Daniel David Baiges Dones,2,6.5,1.509
pedro eugenio munoz piedra,Pedro Eugenio Muñoz Piedra,2,11.5,2.669
omar pashayev,Omar Pashayev,2,2.5,0.58
markus hametner,Markus Hametner,2,3.5,0.812
bojan nikolic,Bojan Nikolic,2,2.5,0.58
fabio pilo,Fábio Piló,2,5.5,1.277
yevgen petrenko,Yevgen Petrenko,2,4.5,1.045
carlos fernandez buergo,Carlos Fernández Buergo,2,7.5,1.741
oscar martinez santos,Óscar Martínez Santos,2,6.5,1.509
julio mena gimeno,Julio Mena Gimeno,2,1.0,0.232
alexandros dragatis,Alexandros Dragatis,2,4.0,0.928
georgios markantonatos,Georgios Markantonatos,2,4.0,0.928
peter gibbons,Peter Gibbons,2,3.5,0.812
dan pedersen,Dan Pedersen,2,3.5,0.812
nikolaj boddum pedersen,Nikolaj Boddum Pedersen,2,0.0,0.0
erik ter brake,Erik ter Brake,2,2.0,0.464
frank de winter,Frank de Winter,2,0.0,0.0
anton kachanov,Anton Kachanov,2,4.0,0.928
eduart pashuku,Eduart Pashuku,2,3.0,0.696
nicolo marini,Nicolò Marini,2,4.5,1.045
joao pinho,João Pinho,2,2.5,0.58
vsevolod zharikov,Vsevolod Zharikov,2,2.0,0.464
antonio alberola rojas,Antonio Alberola Rojas,2,6.5,1.509
albert catala ferran,Albert Catalá Ferrán,2,6.0,1.393
juan manuel ruiz aguilera,Juan Manuel Ruiz Aguilera,2,8.0,1.857
charalampos tsoukalas,Charalampos Tsoukalas,2,3.5,0.812
angelos bakogiannis,Angelos Bakogiannis,2,5.5,1.277
konstantinos panytsidis,Konstantinos Panytsidis,2,5.5,1.277
darren munro,Darren Munro,2,2.5,0.58
georgios fitsas,Georgios Fitsas,2,1.5,0.348
lampros tsagarakis,Lampros Tsagarakis,2,7.0,1.625
dimitrios psychoulas,Dimitrios Psychoulas,2,5.0,1.161
georgios balachoutis,Georgios Balachoutis,2,6.5,1.509
stefanos vaios kalantzis,Stefanos-Vaios Kalantzis,2,10.5,2.437
giannis panos,Giannis Panos,2,3.0,0.696
nikolaos maropoulos,Nikolaos Maropoulos,2,10.0,2.321
athanasios roussos,Athanasios Roussos,2,6.5,1.509
marios pogas,Marios Pogas,2,3.0,0.696
marios viskadouros,Marios Viskadouros,2,4.5,1.045
theodoros poulopoulos,Theodoros Poulopoulos,2,4.0,0.928
franz bokop,Franz Bokop,2,3.5,0.812
mikhail taran,Mikhail Taran,2,5.0,1.161
davide moriconi,Davide Moriconi,2,5.0,1.161
willem kuijntjes,Willem Kuijntjes,2,2.0,0.464
lars van leeuwen,Lars van Leeuwen,2,1.0,0.232
barry huizinga,Barry Huizinga,2,2.0,0.464
roman galitsyn,Roman Galitsyn,2,4.5,1.045
maksym polishchuk,Maksym Polishchuk,2,7.0,1.625
andriy koshura,Andriy Koshura,2,2.5,0.58
vadym podrygulya,Vadym Podrygulya,2,8.0,1.857
stylianos leonidas,Stylianos Leonidas,2,4.5,1.045
aristotelis kostoulas,Aristotelis Kostoulas,2,6.5,1.509
pantelis tzamoutzantonis,Pantelis Tzamoutzantonis,2,4.5,1.045
stefanos xirogiannis,Stefanos Xirogiannis,2,8.0,1.857
aristidis aliagas,Aristidis Aliagas,2,3.0,0.696
scott leslie,Scott Leslie,2,2.0,0.464
nikolaos chronas,Nikolaos Chronas,2,4.0,0.928
georgios patemtzis,Georgios Patemtzis,2,3.0,0.696
william wilson,William Wilson,2,5.5,1.277
marcelo ibanez juarez,Marcelo Ibáñez Juárez,2,7.0,1.625
athanasios dragousis,Athanasios Dragousis,2,3.5,0.812
evgeni gubin,Evgeni Gubin,2,6.0,1.393
danil dresvyannikov,Danil Dresvyannikov,2,6.0,1.393
alejandro ruiz aguilera,Alejandro Ruiz Aguilera,2,7.5,1.741
pol godia soler,Pol Godia Soler,2,4.5,1.045
eduard sokolov,Eduard Sokolov,2,4.0,0.928
evgeniy kupa,Evgeniy Kupa,2,7.5,1.741
dmitri lipovoy,Dmitri Lipovoy,2,6.0,1.393
roberto tobar,Roberto Tobar,2,3.5,0.812
sergey baranov,Sergey Baranov,2,7.0,1.625
eduard schulz,Eduard Schulz,2,5.0,1.161
denis mareev,Denis Mareev,2,2.0,0.464
richard groenewegen,Richard Groenewegen,2,6.0,1.393
sven spaan,Sven Spaan,2,5.0,1.161
kevin dhondt,Kevin Dhondt,2,4.5,1.045
yaroslav pesotskyi,Yaroslav Pesotskyi,2,5.5,1.277
patrick hanslbauer,Patrick Hanslbauer,2,3.0,0.696
jonathan nilton,Jonathan Nilton,2,1.5,0.348
gerard brull acerete,Gerard Brull Acerete,2,3.0,0.696
adrian calvo martinez,Adrián Calvo Martínez,2,6.0,1.393
andrew bryson,Andrew Bryson,2,0.5,0.116
dmitri golov,Dmitri Golov,2,3.0,0.696
aleksandr generalov,Aleksandr Generalov,2,4.0,0.928
marcos brazao,Marcos Brazão,2,4.0,0.928
gustav olsen,Gustav Olsen,2,3.5,0.812
mathias levin pedersen,Mathias Levin Pedersen,2,1.0,0.232
morten helweg andersen,Morten Helweg Andersen,2,4.5,1.045
vasyl fayda,Vasyl Fayda,2,5.0,1.161
rostyslav dubyna,Rostyslav Dubyna,2,5.0,1.161
terry ormiston,Terry Ormiston,2,4.5,1.045
robin taylor,Robin Taylor,2,3.5,0.812
gordon seago,Gordon Seago,2,3.5,0.812
mark harris,Mark Harris,2,6.5,1.509
fraser bushell,Fraser Bushell,2,3.5,0.812
garreth rhodes,Garreth Rhodes,2,6.5,1.509
david cambronero gonzalez,David Cambronero González,2,5.0,1.161
victor gomes,Victor Gomes,2,3.0,0.696
konrad oldhafer,Konrad Oldhafer,2,2.5,0.58
ivan pozhidaev,Ivan Pozhidaev,2,4.5,1.045
stavros georgopoulos,Stavros Georgopoulos,2,3.0,0.696
giannis routsis,Giannis Routsis,2,3.5,0.812
giannis andrikopoulos,Giannis Andrikopoulos,2,3.5,0.812
carlos agraz diaz,Carlos Agraz Díaz,2,5.0,1.161
imanol irurtzun artola,Imanol Irurtzun Artola,2,6.5,1.509
jorge tarraga lajara,Jorge Tárraga Lájara,2,5.5,1.277
juan antonio manrique antequera,Juan Antonio Manrique Antequera,2,6.5,1.509
nazmi nasaruddin,Nazmi Nasaruddin,2,3.0,0.696
patrick schwengers,Patrick Schwengers,2,3.0,0.696
hans henrik hojte hansen,Hans Henrik Höjte Hansen,2,3.5,0.812
mikkel thomsen,Mikkel Thomsen,2,0.5,0.116
simon jensen,Simon Jensen,2,2.5,0.58
vladislav bykov,Vladislav Bykov,2,3.5,0.812
mikhail yakovlev,Mikhail Yakovlev,2,3.5,0.812
andriy shevchuk,Andriy Shevchuk,2,6.5,1.509
yaroslav leskiv,Yaroslav Leskiv,2,9.5,2.205
mykyta bogatyr,Mykyta Bogatyr,2,7.0,1.625
joao pedro afonso,João Pedro Afonso,2,4.5,1.045
maarten spoon,Maarten Spoon,2,0.0,0.0
stefan van westing,Stefan van Westing,2,4.0,0.928
tom danaher,Tom Danaher,2,4.0,0.928
georgios rafail drakidis,Georgios-Rafail Drakidis,2,2.0,0.464
konstantinos tikozoglou,Konstantinos Tikozoglou,2,3.5,0.812
loukas rigopoulos,Loukas Rigopoulos,2,4.5,1.045
leonidas stavrou,Leonidas Stavrou,2,5.5,1.277
theodoros maranos,Theodoros Maranos,2,7.0,1.625
oleg snegirev,Oleg Snegirev,2,6.0,1.393
charalampos psaridis,Charalampos Psaridis,2,7.5,1.741
nathan clac mansfield,Nathan Clac-Mansfield,2,4.0,0.928
manuel pozueta rodriguez,Manuel Pozueta Rodríguez,2,7.0,1.625
alvaro rodriguez recio,Álvaro Rodríguez Recio,2,5.5,1.277
richie watkins,Richie Watkins,2,5.5,1.277
wayne cartmel,Wayne Cartmel,2,3.5,0.812
michael barlow,Michael Barlow,2,2.0,0.464
dale baines,Dale Baines,2,2.5,0.58
juan benitez,Juan Benítez,2,2.5,0.58
kevin ortega,Kevin Ortega,2,6.0,1.393
gustavo tejera,Gustavo Tejera,2,1.5,0.348
assad nouhoum,Assad Nouhoum,2,3.0,0.696
fabienne michel,Fabienne Michel,2,3.0,0.696
felix prigan,Felix Prigan,2,5.0,1.161
eric weisbach,Eric Weisbach,2,5.0,1.161
mladen jakovljevic,Mladen Jakovljevic,2,3.5,0.812
alexis herrera,Alexis Herrera,2,6.0,1.393
sam allison,Sam Allison,2,6.5,1.509
georgi ginchev,Georgi Ginchev,2,5.0,1.161
heini vidoy,Heini Vidoy,2,5.5,1.277
david huwiler,David Huwiler,2,4.0,0.928
lukasz karski,Lukasz Karski,2,5.0,1.161
fatih tokail,Fatih Tokail,2,8.0,1.857
danil tkachenko,Danil Tkachenko,2,2.0,0.464
vladislav demyanchuk,Vladislav Demyanchuk,2,8.0,1.857
alina vakhrusheva,Alina Vakhrusheva,2,4.0,0.928
iulian dima,Iulian Dima,2,5.5,1.277
andrei antonie,Andrei Antonie,2,6.0,1.393
yuliya veselova,Yuliya Veselova,2,2.0,0.464
kamal umudlu,Kamal Umudlu,2,5.5,1.277
mamdouh mufreh al shahdan,Mamdouh Mufreh Al-Shahdan,2,5.0,1.161
sultan mohammed al akairi,Sultan Mohammed Al-Akairi,2,2.5,0.58
andriy voyevoda,Andriy Voyevoda,2,1.5,0.348
artem gordynskyi,Artem Gordynskyi,2,7.0,1.625
igor sadkovskyi,Igor Sadkovskyi,2,7.0,1.625
taras kozak,Taras Kozak,2,8.5,1.973
dmitriy matveev,Dmitriy Matveev,2,2.0,0.464
dmitriy kraynov,Dmitriy Kraynov,2,6.5,1.509
vasilios fitsas,Vasilios Fitsas,2,5.0,1.161
konstantinos foustanas,Konstantinos Foustanas,2,4.5,1.045
vladislav kharitonov,Vladislav Kharitonov,2,5.5,1.277
kieran o'reilly,Kieran O'Reilly,2,3.5,0.812
charalampos margaritis,Charalampos Margaritis,2,5.5,1.277
maarten joel ter velde,Maarten Joël ter Velde,2,4.0,0.928
geert den ouden,Geert den Ouden,2,7.0,1.625
jamie mccunnie,Jamie McCunnie,2,4.0,0.928
daniel miranda bolanos,Daniel Miranda Bolaños,2,5.5,1.277
alejandro ojaos valera,Alejandro Ojaos Valera,2,3.0,0.696
sam mulhall,Sam Mulhall,2,6.0,1.393
steven copeland,Steven Copeland,2,6.5,1.509
hector martinez,Héctor Martínez,2,3.5,0.812
katja koroleva,Katja Koroleva,2,4.5,1.045
michael venne,Michael Venne,2,5.0,1.161
greg dopka,Greg Dopka,2,4.0,0.928
natalie simon,Natalie Simon,2,3.5,0.812
kwang ho choi,Kwang-ho Choi,2,2.0,0.464
dong sik jeong,Dong-sik Jeong,2,3.5,0.812
daichi shiino,Daichi Shiino,2,4.5,1.045
yuzo sutani,Yuzo Sutani,2,2.0,0.464
gustavo ervino bauermann,Gustavo Ervino Bauermann,2,3.5,0.812
lucas canetto,Lucas Canetto,2,6.0,1.393
daniil logvinov,Daniil Logvinov,2,3.0,0.696
pavel klipikov,Pavel Klipikov,2,7.0,1.625
asen albayrak,Asen Albayrak,2,5.5,1.277
luis gracia,Luis Gracia,2,6.5,1.509
jairo mayorga,Jairo Mayorga,2,5.5,1.277
liz suarez,Liz Suarez,2,8.5,1.973
oleksiy garkusha,Oleksiy Garkusha,2,6.5,1.509
lasse clausen,Lasse Clausen,2,2.0,0.464
abdulkadir artan,Abdulkadir Artan,2,2.5,0.58
abdou abdel mefire,Abdou Abdel Mefire,2,6.0,1.393
ahmad heeralall,Ahmad Heeralall,2,1.0,0.232
boubou traore,Boubou Traoré,2,4.5,1.045
mahmood ali mahmood ismail,Mahmood Ali Mahmood Ismail,2,3.5,0.812
pacifique ndabihawenimana,Pacifique Ndabihawenimana,2,5.0,1.161
peter waweru,Peter Waweru,2,7.0,1.625
samuel uwikunda,Samuel Uwikunda,2,4.5,1.045
dan laryea,Dan Laryea,2,3.5,0.812
chris mclaughlin,Chris McLaughlin,2,0.5,0.116
konrad spalony,Konrad Spalony,2,0.5,0.116
jack leslie,Jack Leslie,2,0.0,0.0
ewan dunn,Ewan Dunn,2,1.5,0.348
davud magomedov,Davud Magomedov,2,3.5,0.812
georgiy musienko,Georgiy Musienko,2,5.0,1.161
maarten ter velde,Maarten ter Velde,2,2.5,0.58
pascal smeenk,Pascal Smeenk,2,3.0,0.696
kylian walthuis,Kylian Walthuis,2,2.5,0.58
marouan achammachi,Marouan Achammachi,2,4.0,0.928
scott donohoe,Scott Donohoe,2,0.5,0.116
david alexander,David Alexander,2,3.0,0.696
ross donaldson,Ross Donaldson,2,4.0,0.928
nathan crawford,Nathan Crawford,2,5.5,1.277
eric saba,Eric Saba,2,3.5,0.812
josh hay,Josh Hay,2,3.0,0.696
aaron farmer,Aaron Farmer,2,6.5,1.509
richard eley,Richard Eley,2,3.5,0.812
andrew humphries,Andrew Humphries,2,5.0,1.161
huseyin sanli,Hüseyin Sanli,2,2.5,0.58
hajrim qovanaj,Hajrim Qovanaj,2,4.5,1.045
juan pablo loustau,Juan Pablo Loustau,2,5.0,1.161
brandon stevis,Brandon Stevis,2,2.5,0.58
mark shield,Mark Shield,2,5.0,1.161
coffi codjia,Coffi Codjia,2,5.0,1.161
eric poulat,Éric Poulat,2,4.5,1.045
tom henning ovrebo,Tom Henning Övrebö,2,4.0,0.928
mejuto gonzalez,Mejuto González,2,3.5,0.812
konrad plautz,Konrad Plautz,2,4.0,0.928
kyros vassaras,Kyros Vassaras,2,3.0,0.696
khalil al ghamdi,Khalil Al Ghamdi,2,8.0,1.857
jerome damon,Jérôme Damon,2,4.0,0.928
